Knowledge Article: Question,Knowledge Article: URL Name,Knowledge Article: Answer
How do I update my contact details?,how-do-i-update-my-contact-details,You can update your mobile number and/or email address via my cpf digital services – Account settings with your Singpass. An SMS or email One-Time PIN (OTP) will be sent to your new mobile or email address for verification before the changes can be submitted. Please note that any changes to your contact details will be subject to a 12-hour cooling period and you may be subject to enhanced authentication measures to verify your identity.
How do I inform CPF Board if I have changed my contact details?,how-do-i-inform-cpf-board-if-i-have-changed-my-contact-details,You can update your mobile number and/or email address via the Account Settings page with your Singpass. An SMS or email One-Time PIN (OTP) will be sent to your new mobile or email address for verification before the changes can be submitted. Please note that any changes to your contact details will be subject to a 12-hour cooling period and you may be subject to enhanced authentication measures to verify your identity.
How can I inform CPF Board of a change in my mobile number or email address?,how-can-i-inform-cpf-board-of-a-change-in-my-mobile-number-or-email-address,"You can update your mobile number and/or email address via my cpf digital services - Account settings with your Singpass. Please note that any changes to your contact details will be subject to a 12-hour cooling period and you may be subject to enhanced authentication measures to verify your identity. If you are an employer, you should inform CPF Board of any changes to your principal place of business or contact details .  "
What happens to my MediSave if I do not use it?,what-happens-to-my-medisave-if-i-do-not-use-it,Any unused MediSave savings will remain in your MediSave Account and grow with interest.   Learn more about  CPF interest rates .
How is the Basic Healthcare Sum determined?,how-is-the-basic-healthcare-sum-determined,"The Basic Healthcare Sum is an estimate of your likely medical expenses from age 65 onwards. It is determined based on past trends in MediSave use by the elderly. It is meant to cater for your own basic subsidised healthcare expenses, as well as health insurance and long-term care insurance premiums during old age."
"If I work after age 65, do I still need to contribute to my MediSave Account?",if-i-work-after-age-65-do-i-still-need-to-contribute-to-my-medisave-account,"As long as you continue to work, you will need to contribute to your MediSave Account (MA). The contributions will accumulate in your MA up to the Basic Healthcare Sum. Your MediSave savings will help you with your medical expenses during retirement."
Can I choose to receive both digital notification and a hardcopy MediSave transaction statement?,can-i-choose-to-receive-both-digital-notification-and-a-hardcopy-medisave-transaction-statement,You will not be receiving hardcopies of your MediSave transaction statement once you receive notifications digitally. This will aid us in our pursuit to reduce the use of paper.
Why is the Basic Healthcare Sum adjusted yearly?,why-is-the-basic-healthcare-sum-adjusted-yearly,"To ensure that the Basic Healthcare Sum (BHS) remains relevant for every cohort, we need to adjust it regularly to keep pace with the growth in MediSave use by the elderly, especially with rising healthcare costs and expansions in MediSave uses. The BHS is adjusted yearly for cohorts below age 65.   The BHS for each cohort is fixed from age 65 onwards and the same BHS applies to them for the rest of their lives. This will help members save enough for their basic subsidised healthcare needs in old age, while providing some certainty on the amount they need to set aside in their MediSave Account for their old age."
Do I have to top up my MediSave Account to the Basic Healthcare Sum if I withdraw my CPF savings from age 55?,do-i-have-to-top-up-my-medisave-account-to-the-basic-healthcare-sum-if-i-withdraw-my-cpf-savings-from-age-55,You do not have to top up your MediSave Account when you withdraw your CPF savings from age 55.
"If I do not have the Basic Healthcare Sum when I reach my Payout Eligibility Age and I intend to start receiving my retirement payouts, do I need to top up my MediSave Account?",if-i-do-not-have-the-basic-healthcare-sum-when-i-reach-my-payout-eligibility-age-and-i-intend-to-start-receiving-my-retirement-payouts-do-i-need-to-top-up-my-medisave-account,You will not need to top up your MediSave Account to the Basic Healthcare Sum in order to receive your retirement payouts.
What happens if I do not have the Basic Healthcare Sum when I turn age 65?,what-happens-if-i-do-not-have-the-basic-healthcare-sum-when-i-turn-age-65,"The Basic Healthcare Sum (BHS) is the estimated savings you will need for your basic subsidised healthcare expenses in old age. If you have less than the BHS at age 65, you are not required to top up your MediSave Account (MA). However, you may choose to top up your MA using cash if you would like to build up your healthcare savings."
What is the Basic Healthcare Sum?,what-is-the-basic-healthcare-sum,"The Basic Healthcare Sum (BHS) is the estimated savings you need in your MediSave Account for your basic subsidised healthcare needs in old age.   For CPF members below age 65, the BHS will be adjusted annually to keep pace with the expected growth in MediSave use by the elderly. This ensures that the BHS will stay relevant for each cohort when they arrive at retirement age.   Once CPF members reach age 65, their BHS will be fixed for the rest of their lives.   For CPF members aged below 65 in 2024 The prevailing BHS is $71,500, and will be adjusted yearly. For CPF members who turn 65 in 2024 The cohort BHS is $71,500 and it will remain fixed for the rest of their lives. The following table summarises the BHS for respective cohorts aged 65 and above in 2024:   Age in 2024 Year when cohort turned age 65 Cohort BHS (fixed for life) 65 2024 $71,500 66 2023 $68,500 67 2022 $66,000 68 2021 $63,000 69 2020 $60,000 70 2019 $57,200 71 2018 $54,500 72 2017 $52,000 73 and above 2016 or earlier $49,800"
How can I check the status of my Home Protection Scheme exemption application?,how-can-i-check-the-status-of-my-home-protection-scheme-exemption-application,"You can contact your insurer to confirm if they have submitted the Home Protection Scheme exemption application to the Board. You may ask them to provide you with the application number (i.e. FormSG ID number).   Once your insurer(s) have submitted your application to the Board, you will receive notification of the outcome generally within five working days from the date it was submitted. Your insurer(s) will also be notified of the outcome.   However, if you haven't received any notification after this period and have confirmed that your insurer has submitted the application, you may write to us to check on the status of your application."
"As an employee, how much do I contribute to my MediSave Account (MA)?",as-an-employee-how-much-do-i-contribute-to-my-medisave-account-ma,You contribute a portion of your monthly CPF contributions to your MediSave Account (MA) depending on your age group. You can refer to the  CPF contribution and allocation rates .
What is MediSave?,what-is-medisave,"MediSave is a national savings scheme which helps CPF members save for future medical expenses, especially during retirement. Saving for future medical expenses is important, as the need for medical care and hospitalisation increases significantly as one grows older. It is important that you spend your MediSave savings prudently. MediSave can be used for hospitalisation and day surgery expenses. MediSave can also be used to pay for certain costly outpatient treatments like dialysis, cancer drugs and radiotherapy, as well as treatment for a number of chronic diseases like diabetes and hypertension. Those with severe disability can also tap on MediSave Care for their long-term care needs. You can refer to the  MOH website for the uses of MediSave and the withdrawal limits. Additionally, MediSave can also be used to pay the premiums of approved medical insurance schemes like MediShield Life. If you want additional coverage for your bills in private hospitals, or A and B1 ward types in public hospitals, you can use your MediSave to help pay for an Integrated Shield Plan from an approved private insurer. These plans are integrated with MediShield Life to provide additional medical coverage on top of MediShield Life. MediSave can also be used to pay the premiums of approved long-term insurance schemes like CareShield Life and ElderShield. For those under CareShield Life who would like additional coverage, you may also use your MediSave to help pay for Supplements from approved private insurers. You can refer to the CareShield Life website for more information."
I received a call/email/SMS/WhatsApp message from the Board. Is it a scam?,i-received-a-call-email-sms-whatsapp-message-from-the-board-regarding-my-enquiry-is-it-a-scam,"It is crucial to remain vigilant and cautious when receiving calls/email/messages. CPF Board officers will never ask you to reveal your CPF balances, transfer funds to them or provide your banking credentials. If you receive such requests from anyone claiming to be a CPF Board officer, do not act on them. Immediately make a police report via 1800-255-0000 or www.police.gov.sg/iwitness and inform CPF Board. You can protect yourself against scams by doing the following checks: For email, ensure that the sender's email address is correctly spelt and ends with @cpf.gov.sg or @e.cpf.gov.sg Telephone calls from CPF Board officers will not begin with a prefix ""+65"". If a call has a prefix with a plus (+) sign, it is likely to be an overseas call and will not be from CPF Board. Telephone calls from CPF Call Centre will be made from 68454401. For WhatsApp, ensure that the sender is “CPF Board Text us” with the green badge. This is our official business account with the phone number 62023401. CPF Board Text us   For SMS, ensure that the sender is 'gov.sg'. Messages from CPF Board may contain links to the CPF website or other Government websites. Please check that the domain of such links end with "".gov.sg"" before clicking on them. To ensure that you are notified of any transactions or updates to your CPF accounts, please check and update your contact details under Account Settings (Singpass required)."
Is there a maximum amount that I can save in my MediSave Account?,is-there-a-maximum-amount-that-i-can-save-in-my-medisave-account,"You can save up to the prevailing Basic Healthcare Sum (BHS) in your MediSave Account if you have not turned age 65. The BHS from 1 January 2024 is $71,500 for all CPF members aged 65 years old and below in 2024. The BHS applicable to you will be adjusted yearly to account for increasing life expectancy and healthcare costs until the year you turn age 65. For instance, if you are aged 65 in 2024, the BHS that is applicable to you will be $71,500 for the rest of your life. The following table summarises the BHS for respective cohorts aged 65 and above in 2024:   Age in 2024 Year when cohort turned age 65 Cohort BHS (fixed for life) 65 2024 $71,500 66 2023 $68,500 67 2022 $66,000 68 2021 $63,000 69 2020 $60,000 70 2019 $57,200 71 2018 $54,500 72 2017 $52,000 73 and above 2016 or earlier $49,800  "
What is the Basic Healthcare Sum when I turn 65 years old?,wat-is-the-basic-healthcare-sum-when-i-turn-65-years-old,"For each cohort turning 65 years old, their applicable Basic Healthcare Sum (BHS) will be fixed at that year's amount for the rest of their life. For instance, if you are aged 65 in 2024, the BHS applicable to you is $71,500 and it will remain unchanged for the rest of your life. The following table summarises the BHS for respective cohorts age 65 and above in 2024:   Age in 2024 Year when cohort turned age 65 Cohort BHS (fixed for life) 65 2024 $71,500 66 2023 $68,500 67 2022 $66,000 68 2021 $63,000 69 2020 $60,000 70 2019 $57,200 71 2018 $54,500 72 2017 $52,000 73 and above 2016 or earlier $49,800  "
Can I use MediSave to pay the remainder of my medical bill that is not covered under my pensioner benefits?,can-i-use-medisave-to-pay-the-remainder-of-my-medical-bill-that-is-not-covered-under-my-pensioner-benefits,"You can use your own or your approved dependants’ (i.e. spouse, children, parents, grandchildren and siblings) MediSave to pay the remainder of your medical bill that is not covered under your pensioner benefits, up to the MediSave withdrawal limits. The expenses incurred must be for medical treatments approved under the MediSave scheme.   If you would like to use your MediSave to pay the remainder of your medical bill, please inform the Medical Institution (MI). You will be required to complete the Medical Claims Authorisation Form (MCAF), which authorises the MI to use your MediSave to pay the bill. Please note that any amount above the MediSave withdrawal limits would need to be paid in cash."
What is the MediSave Grant for Newborns?,what-is-the-medisave-grant-for-newborns,"The MediSave Grant for Newborns is a grant given to all Singapore Citizen newborns in the child’s MediSave Account. Parents can use it to help defray their child’s healthcare expenses, such as MediShield Life premiums, recommended childhood vaccinations, hospitalisation, and approved outpatient treatments.   For more information on the MediSave Grant for Newborns, please visit madeforfamilies.gov.sg ."
"Can I use my MediSave to pay for my siblings' insurance premiums for schemes such as MediShield Life, Integrated Shield Plans or ElderShield/ElderShield Supplement?",can-i-use-my-medisave-to-pay-for-my-siblings-insurance-premiums-for-schemes-such-as-medishield-life-integrated-shield-plans-or-eldershield-eldershield-supplement,"Yes. Since 1 June 2019, members may use their MediSave to pay for their siblings' insurance premiums."
Can I use MediSave to pay for my overseas medical treatment if I am living overseas for the long term?,can-i-use-medisave-to-pay-for-my-overseas-medical-treatment-if-i-am-living-overseas-for-the-long-term,"As MediSave is primarily meant for medical treatment in Singapore, it does not cover overseas medical expenses for those residing overseas for the long term. This is a common feature of national healthcare systems in many countries.        If you are residing overseas for the long term, please consider obtaining medical coverage to meet your overseas healthcare needs."
Why was I notified of my MediSave deduction via a different notification mode before and after 12 June 2023?,why-was-i-notified-of-my-medisave-deduction-via-a-different-notification-mode-before-and-after-12-june-2023,"As part of our continuous effort to enhance our members’ experience, we have made changes to the notifications we send. These changes were made to ensure alignment with other types of notifications that our members receive from us.   With effect from 12 June 2023, we have started notifying members of their MediSave deductions for medical expenses via email or SMS using their contact details maintained with CPF Board. You may verify that the notification is legitimate by checking that that the sender’s email address ends with @e.cpf.gov.sg, and the SMS sender ID is 'gov.sg'. The SMS will also begin with ""Central Provident Fund Board"".   If you have installed the CPF Mobile App and enabled push notifications, you will receive push notification alerts on your mobile phone as an additional notification.   We encourage you to keep your contact details updated so that you can receive timely notifications. You may update your mobile number and/or email address via the  Account settings  page on CPF website, after logging in with your Singpass. An SMS or email One-Time PIN (OTP) will be sent to your new mobile number or email address for verification before the changes take effect."
Can I use MediSave to pay for the removal of my wisdom tooth?,can-i-use-medisave-to-pay-for-the-removal-of-my-wisdom-tooth,"You can use your MediSave savings to pay for the removal of your wisdom tooth incurred at a participating private dental clinic under the MediSave Scheme, provided that it is a surgical procedure. The day surgery limits are:   1) Day surgery Up to a maximum of $300 per day for daily hospital charges, including investigations, medicines and doctor's attendance fees. 2) Operation A fixed limit for operations ranging from $250 to $7,550 depending on the type of operations performed.    "
What is not covered under the MediSave scheme?,what-is-not-covered-under-the-medisave-scheme,"MediSave generally does not cover optional and cosmetic treatments, accident and emergency (A&E) fees and non-medical treatments such as ambulance transport. Please approach the medical institution to find out whether your treatment can be covered under MediSave."
Can I use my MediSave for my siblings' medical expenses?,can-i-use-my-medisave-for-my-siblings-medical-expenses,"You may use your MediSave to pay for your siblings' medical expenses, as long as they are Singapore Citizens or Permanent Residents (SC/PR). You would have to provide proof to the medical institutions that your siblings are SC/PR (e.g. NRICs)."
I have saved the Basic Healthcare Sum (BHS) in my MediSave Account. What happens to my MediSave savings above the BHS?,i-have-saved-the-basic-healthcare-sum-bhs-in-my-medisave-account-what-happens-to-my-medisave-savings-above-the-bhs,"MediSave Account savings above the Basic Healthcare Sum (BHS) will be channelled to your CPF Special Account (SA) or Retirement Account (RA), depending on your age. The BHS cap and channelling are designed to avoid over-saving in MediSave Account and to supplement the member’s retirement savings, which can be withdrawn according to the CPF withdrawal rules. For members who have met the Full Retirement Sum (FRS)* in their SA or RA, the savings in excess of the BHS will be channelled to the Ordinary Account (OA). Savings in the OA can be used for other purposes such as housing repayment.   *FRS amount consists of SA balance and any active CPFIS-SA investments."
How do I revoke the authorisation for the use of MediSave savings for my own and/or family member(s) medical expenses?,how-do-i-revoke-the-authorisation-for-the-use-of-medisave-savings-for-my-own-and-or-family-member-s-medical-expenses,"If you had signed the Medical Claims Authorisation Form (Single Institution), please approach the Medical Institution where you signed the form to revoke your authorisation.   If you had signed the Medical Claims Authorisation Form (Multiple Institutions), you can approach any Public Healthcare Institution to obtain a copy of the revocation form. Alternatively, you may also download this form , and mail the completed form to the address indicated below.   Attn: MCAF/ PFA Administrators Bukit Merah Central Post Office P.O. Box 680 Singapore 911536"
